,"Cash 
Awarded","City Services 
Awarded","Total amount
Awarded","Term 
(years)",Notes,2017 Application,,,,
City Partnership Grants,,,,,,,,,,
Arts Council of New Westminster,"$28,000 ","$4,010 ","$32,010 ",2nd year of a 3 year term,,Applicant was awarded a 3 year term grant in 2016.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,, ,,
Massey Theatre,"$66,000 ",,"$66,000 ",3rd year of a 3 year term,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Tourism New Westminster,"$100,000 ",,"$100,000 ",1 year,,Tourism New Westminster 2017 Application,,,,
Fraser River Discovery Centre,"$55,000 ",,"$55,000 ",1 year,,Fraser River Discovery Centre 2017 Application,,,,
Communities Empracing Restorative Action Society (CERA),"$17,500 ",,"$17,500 ",1 year, ,CERA 2017 Application,,,,
New Westminster Homelessness Society,"$15,000 ",,"$15,000 ",3 year,,New Westminster Homelessness Society 2017 Application,,,, 
Fraserside Community Services Society,"$16,000 ",,"$16,000 ",1 year,,Fraserside Community Services Society 2017 Application,,,,
Senior Services Society of BC,"$75,000 ",,"$75,000 ",3rd year of a 3 year term,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
New Westminster Victim Assistance Association,"$25,000 ",,"$25,000 ",3rd year of a 3 year term,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,, ,
Family Services of New Westminster,"$15,000 ",,"$15,000 ",3rd year of a 3 year term,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
ACORN Canada,"$7,000 ",,"$7,000 ",1 year,,ACORN Canada 2017 Application,`,,,
Downtown New Westminster BIA,"$5,000 ",,"$5,000 ",1 year,,Downtown New Westminster BIA 2017 Application,,,,
Elizabeth Fry Society ,"$5,000 ",,"$5,000 ",1 year,,Elizabeth Fry Society 2017 Application,,,,
Royal City Musical Theatre Society,"$5,000 ",,"$5,000 ",3 year,,Royal City Musical Theatre Society 2017 Application,,,,
New Westminster Symphony Society ,"$2,000 ",,"$2,000 ",3 year,,New Westminster Symphony Society 2017 Application,,,,
Canadian Mental Health Association,"$7,000 ",,"$7,000 ",1 year,,Canadian Mental Health Association 2017 Application,,,,
Total Awarded,"$443,500 ","$4,010 ","$447,510 ",,,,,,,
,,,,,,,,,,
Festivals Grants,,,,,,,,,,
Queensborough Special Program ,"$1,400 ",,"$1,400 ", 3of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Downtown BIA Food Truck Festival,,"$18,040 ","$18,040 ", 3of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Hyack Festival - Canada Day on the River - Fireworks,"$10,000 ",,"$10,000 ", 3of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Hyack Festival Parade and Street Fair,"$5,000 ","$20,000 ","$25,000 ", 3of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
NW Pride Festival - Annual pride festival,"$17,100 ","$16,000 ","$33,100 ", 3of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Sapperton Merchants Association - Sapperton Days,"$5,000 ","$7,100 ","$12,100 ", 3 of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Westend Business Association - 12th Street Music Festival,"$5,000 ","$7,400 ","$12,400 ", 3 of 3 ,,Applicant was awarded a 3 year term grant in 2015.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Uptown Business Ass - Uptown Live ,"$30,000 ","$7,000 ","$37,000 ", 2 of 3 ,,Applicant was awarded a 3 year term grant in 2016.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
Hyack Festival Grand Prix,"$2,800 ","$14,000 ","$16,800 ",1,,Approved early for 1 year,,,,
School District #40 May Day Celebrations,"$22,660 ","$13,456 ","$36,116 ", 2 of 3 ,,Applicant was awarded a 3 year term grant in 2016.  Applicants awarded multi-year grant terms are not required to submit applications in subsequent years.,,,,
15th Black History Market & Cultural Showcase,"$1,000 ",,"$1,000 ",1, Amount alloted based on grant envelope budget.,Centre of Immigration for African Immigrants,,,,
Fridays on Front ,"$6,000 ",$500 ,"$6,500 ",1, Amount alloted based on grant envelope budget.,Downtown New Westminster BIA 2017 Application,,,,
Hyack Parade Float,"$10,000 ",,"$10,000 ",1,This amount is to cover a 2 year period. Association not eligible to apply for further funding until 2019,Hyack Festival Association,,,,
New Westminster Multicultural Festival,"$6,000 ","$2,500 ","$8,500 ",1, Amount alloted based on grant envelope budget., New Westminster Philippine Festival Society ,,,,
Recovery Day,"$3,000 ","$4,000 ","$7,000 ",1,Falls under festival guidelines - Amount reduced due to grant envelope budget., Westminster House & Last Door Society ,,,,
Total Awarded,"$124,960 ","$109,996 ","$234,956 ",,,,,,,
,,,,,,,,,,
Community Grants,,,,,,,,,,
Camp Kerry Society,"$5,660 ",,"$5,660 ",,,,,,,
Canadian Mental Health Association,"$3,000 ",,"$3,000 ",,,,,,,
Centre of Immigration for African Immigrants,"$3,200 ",,"$3,200 ",,,,,,,
Fraser North Community Volunteer Connections Society,"$1,500 ",,"$1,500 ",,,,,,,
Hyack Festival Association,"$3,500 ",,"$3,500 ",,,,,,,
New Westminster Lawn Bowling Club,"$5,800 ",,"$5,800 ",,,,,,,
New Westminster Lawn Bowling Club,"$5,000 ",,"$5,000 ",,,,,,,
New Westminster Secondary School,"$6,000 ","$1,715 ","$7,715 ",,,,,,,
New West TV,"$5,000 ",,"$5,000 ",,,,,,,
New Westminster Youth Ambassador Society,"$3,500 ",,"$3,500 ",,,,,,,
The Parish of St. Barnabas,"$7,200 ",,"$7,200 ",,,,,,,
Umbrella Multicultural Society,"$2,197 ",,"$2,197 ",,,,,,,
VEATA (Volunteer Assistance Team for Animals),$600 ,,$600 ,,,,,,,
Open Streets New West,"$1,000 ",,"$1,000 ",,,,,,,
WINGS (Women in Need Gaining Strength),"$4,000 ",,"$4,000 ",,,,,,,
Total Awarded,"$57,157 ","$1,715 ","$58,872 ",,,,,,,
,,,,,,,,,,
Arts and Culture Grants,,,,,,,,,,
Alchemy Theatre,"$1,500 ",,"$1,500 ",,The jury noted the great commitment to theatre quality. It also commented on the large number of volunteer involvement and diverse use of Bernie Legge Theatre. ,,,,,
City Stage New West,"$2,000 ",,"$2,000 ",,The jury noted the detailed application. The jury appreciates the location choice and the partnership it has created. ,,,,,
Douglas College,"$1,000 ",,"$1,000 ",,The project delivers an accessible music program to students and the community. The jury recommends that the applicants looks at additional matching funders and partners to support this project. The jury noted a need to showcase more New Westminster based professional musicians.,,,,,
Ecole Glenbrook Middle School,$555 ,,$555 ,,The jury is supportive of this project and hopes it has a wide community impact.,,,,,
Royal City Literary Arts Society,$900 ,,$900 ,,The jury is supportive of this project as it brings a great value to the community. The jury urged the organization to seek additional sponsors as there is potential for growth for this project.,,,,,
Royal City Literary Arts Society,$350 ,,$350 ,,The jury is supportive of this project and it hopes it reaches a wide audience.,,,,,
Royal City Literary Arts Society,"$1,190 ",,"$1,190 ",,The jury appreciated the encouragement of children's writing and reading skills. There is a great opportunity for other cultures and languages to be shared here.,,,,,
New West TV,$0 ,,$0 ,,The jury commented that this project is a promotional material and has limited community reach. ,,,,,
NewWest Film Society,"$5,000 ",,"$5,000 ",,The project has a high artistic caliber and it brings a diverse audience. The jury liked the partnership with Landmark Cinemas.,,,,, 
New Westminster District Band Society,"$2,000 ",,"$2,000 ",,The jury noted that is important to update the band's library. The jury liked the working partnership with Richard McBride school. The band is self sustained beyond some capital updates.  ,,,,,
Royal City Swing,"$4,000 ","$1,000 ","$4,000 ",,The jury supported the project. Strongly encouraged the applicant to rent a dance floor and a tent. The jury recognized the additional need for city services costs.,,,,,
Sher Vancouver   (co-sponsored by New West Pride),"$1,500 ",,"$1,500 ",,The jury was very enthusiastic in this project's growth of community partnerships and sponsorships. Would have liked to see a more in depth relationship with the New Westminster partners named in this application.,,,,,
Social Medium,"$1,590 ",,"$1,590 ",,The jury commented that the project reaches an youthful audience and liked its accessibility. ,,,,,
The Maple Leaf Singers,"$1,500 ",,"$1,500 ",,The jury supported this project. It commented on the need for new sponsorships and partnerships.,,,,,
The Parish of St Barnabas,$555 ,,$555 ,,The jury supported this project and it hopes it reaches a wide audience.,,,,,
The Poppy Project,$360 ,,$360 ,,"The jury supported this projected because of its wide community reach, it celebrated Remembrance Day and it is  a community initiated participatory art project. ",,,,,
New Westminster Community Pipe Band,"$1,500 ",,"$1,500 ",,,,,,,
Total Awarded,"$25,500 ","$1,000 ","$26,500 ",,,,,,,
,,,,,,,,,,
Amateur Sports Grants,,,,,,,,,,
Burnaby NW Ringette Association,"$1,400 ",$0 ,"$1,400 ",1 year,,,,,,
Hyack Swim Club,$800 ,$0 ,$800 ,1 year,,,,,,
NW Baseball Association,"$1,250 ",$0 ,"$1,250 ",1 year,,,,,,
NW Minor Hockey,"$11,650 ",$0 ,"$11,650 ",1 year,,,,,,
NW Minor Lacrosse Association,"$8,250 ",$0 ,"$8,250 ",1 year,,,,,,
NW Minor Softball,$650 ,$0 ,$650 ,1 year,,,,,,
Royal City Track and Field Society,"$1,800 ",$0 ,"$1,800 ",1 year,,,,,,
Royal City Youth Soccer Club,"$2,800 ",$0 ,"$2,800 ",1 year,,,,,,
Shasta Trampoline Booster Society,$900 ,$0 ,$900 ,1 year,,,,,,
Administration Grants,"$2,000 ",,"$2,000 ",,,,,,,
Travel Fund Allocations,"$3,500 ",,"$3,500 ",,,,,,,
Total Awarded,"$35,000 ",$0 ,"$35,000 ",,,,,,,
,,,,,,,,,,
Heritage Grants,,,,,, ,,,,
The Ancient and Honourable Hyack Anvil Battery,"$2,555 ",$350 ,"$2,905 ",1 year,The committee noted that the funding request was reasonable.,,,,,
New Westminster Heritage Foundation,"$10,000 ",$0 ,"$10,000 ",2nd year of a 3 year term,"The committee noted that the funding provided significant benefits and that the cost of restoration/repair work continues to increase. The committee agreed that a three year term at the value of $10,000 each year is appropriate and  and that the applicant is now in year two of the three year term.",,,,,
New Westminster Heritage Preservation Society,"$3,250 ",$0 ,"$3,250 ",1 year,The committee noted that this program would be beneficial for both the Queen’s Park neighbourhood and for the City in promoting heritage conservation.,,,,,
The Royal Westminster Regiment Volunteer Band,"$3,000 ",$0 ,"$3,000 ",2nd year of a 3 year term,"The committee agreed that a three year term at the value of $3,000 each year is appropriate and that the applicant is now in year two of the three year term.",,,,,
Total Awarded,"$18,805 ",$350 ,"$19,155 ",,,,,,,
,,,,,,,,,,
Environmental Grants,,,,,,,,,,
Burns Bog Conservation Society,"$3,500 ",,"$3,500 ",1 year,The Committee noted that this was a good application and supports the request for the full amount.  Discussion ensued around the fact that the majority of the funds would be used to transport the students to the learning site in Delta.  It was felt that if travel wasn’t supported (as per Grant Guidelines)  there could be an accessibility/ equality issue - dividing students on who could participate.  ,,,,,
Boucher Institute of Naturopathic Medicine,$0 ,,$0 ,1 year,"The Committee did not recommend support for this application.  Main concerns were related to public safety around medicinal herbs, maintenance of the plots & fundraising.  It was felt that the organization should provide more details in the application (e.g., incl. a full plan) & apply again next year. ",,,,,
ecoFest Canada,"$5,465 ",$360 ,"$5,810 ",1 Year,"The Committee was supportive of this event and recommends to cover the full cost.  The applicant's application was more clear this year compared to last year.  The applicant should have provided their own volunteer time in the ""in-kind"" section to show the full cost of implementing an one-day event. Group should consider broadening their support.",,,,,
New Westminster Beekeepers Association,$900 ,,$900 ,1 Year,"The Committee was supportive of this initiative and felt that it presents good value for money, given it is in Queens Park.  Support for the full request is recommended.",,,,,
Total Awarded,"$9,865 ",$360 ,"$10,210 ",,,,,,,
,,,,,,,,,,
Child Care Grants,,,,,,,,,,
Golden Sunshine Daycare Centre Inc.,"$5,000 ",,"$5,000 ",,,,,,,
Queens Avenue Daycare Society,"$4,562 ",,"$4,562 ",,,,,,,
St Barnabas Daycare Society,"$5,000 ",,"$5,000 ",,,,,,,
Kolumbia Inn Daycare Society,"$5,000 ",,"$5,000 ",,,,,,,
Glenbrooke Daycare,"$5,000 ",,"$5,000 ",,,,,,,
Westminster Children's After School Society (WCASS),"$5,000 ",,"$5,000 ",,,,,,,
Total Awarded,"$29,562 ",$0 ,"$29,562 ",,,,,,,
Total 2017 City Grants Awarded,,,"$861,765 ",,,,,,,
